epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5988,1.56502,1.58378,1.21122,0.78185,0.70186,0.80314,0.47645,1.26631,0.91269,1.13143,0.000554148,0.000554148,0.000554148
2,58.6865,1.35219,1.06847,1.09912,0.73632,0.70716,0.74085,0.44939,1.29452,0.92078,1.1579,0.00108784,0.00108784,0.00108784
3,86.8982,1.37373,1.04804,1.09934,0.72166,0.75041,0.76488,0.46087,1.23876,0.89421,1.12422,0.00159953,0.00159953,0.00159953
4,113.396,1.36919,1.01354,1.11441,0.697,0.76813,0.78931,0.47851,1.2184,0.90264,1.13413,0.00156798,0.00156798,0.00156798
5,140.828,1.37554,1.0176,1.11406,0.75049,0.71712,0.78024,0.46381,1.28416,0.87301,1.14922,0.00153497,0.00153497,0.00153497
6,168.859,1.35466,0.98505,1.10601,0.77761,0.69865,0.78009,0.46742,1.24886,0.91496,1.13964,0.00150197,0.00150197,0.00150197
7,195.601,1.3499,0.98855,1.09196,0.80705,0.70569,0.79211,0.4716,1.27705,0.87578,1.14357,0.00146896,0.00146896,0.00146896
8,222.894,1.33537,0.95699,1.1035,0.77848,0.71713,0.77223,0.47918,1.24203,0.86899,1.14158,0.00143595,0.00143595,0.00143595
9,248.584,1.32735,0.95619,1.09032,0.75402,0.70163,0.7738,0.47771,1.24803,0.90277,1.12516,0.00140295,0.00140295,0.00140295
10,275.97,1.29753,0.91297,1.07848,0.73754,0.71764,0.748,0.46151,1.24118,0.87878,1.14655,0.00136994,0.00136994,0.00136994
11,302.405,1.33068,0.93525,1.09181,0.71708,0.75037,0.79272,0.47706,1.2593,0.8792,1.12216,0.00133693,0.00133693,0.00133693
12,329.689,1.3229,0.91575,1.07738,0.76884,0.7083,0.75879,0.467,1.24768,0.89503,1.12319,0.00130393,0.00130393,0.00130393
13,357.498,1.3034,0.91555,1.0763,0.74612,0.72243,0.7844,0.47903,1.27259,0.86424,1.13905,0.00127092,0.00127092,0.00127092
14,384.181,1.29145,0.92646,1.07743,0.7951,0.73717,0.80827,0.50031,1.23891,0.85507,1.11762,0.00123791,0.00123791,0.00123791
15,411.419,1.28965,0.91892,1.08304,0.74825,0.73568,0.77413,0.48507,1.24411,0.88701,1.12056,0.00120491,0.00120491,0.00120491
16,438.049,1.28153,0.91773,1.06961,0.78612,0.70322,0.77086,0.47882,1.23038,0.86415,1.12138,0.0011719,0.0011719,0.0011719
17,466.084,1.26914,0.89988,1.06288,0.76971,0.70803,0.78573,0.48445,1.2361,0.8659,1.13189,0.00113889,0.00113889,0.00113889
18,492.716,1.29535,0.89987,1.07355,0.81659,0.72488,0.81315,0.5024,1.24071,0.85489,1.12403,0.00110589,0.00110589,0.00110589
19,520.444,1.29011,0.89765,1.07605,0.73862,0.74869,0.79395,0.48732,1.23997,0.84467,1.11074,0.00107288,0.00107288,0.00107288
20,547.635,1.2493,0.87012,1.05056,0.75874,0.73206,0.79137,0.50061,1.19449,0.8346,1.1086,0.00103987,0.00103987,0.00103987
21,574.854,1.25377,0.85812,1.05204,0.78184,0.74041,0.80938,0.51195,1.18969,0.84488,1.11127,0.00100687,0.00100687,0.00100687
22,601.854,1.23246,0.84806,1.04433,0.75501,0.72732,0.78402,0.49321,1.19009,0.84418,1.1064,0.000973861,0.000973861,0.000973861
23,628.314,1.24221,0.8503,1.05802,0.74566,0.75317,0.81424,0.52047,1.1557,0.80983,1.09918,0.000940855,0.000940855,0.000940855
24,655.61,1.2257,0.84694,1.03894,0.77875,0.73828,0.79585,0.5001,1.19486,0.82282,1.11883,0.000907848,0.000907848,0.000907848
25,681.679,1.24104,0.8464,1.04475,0.7891,0.7311,0.81986,0.5162,1.17685,0.79325,1.1105,0.000874842,0.000874842,0.000874842
26,709.023,1.22358,0.82863,1.04067,0.77256,0.72035,0.80853,0.50343,1.22623,0.81895,1.11236,0.000841835,0.000841835,0.000841835
27,736.004,1.24007,0.84839,1.04752,0.78146,0.75765,0.8205,0.51087,1.19827,0.78541,1.10472,0.000808828,0.000808828,0.000808828
28,763.453,1.20357,0.82514,1.03474,0.74492,0.74466,0.80306,0.51361,1.16127,0.84157,1.09507,0.000775822,0.000775822,0.000775822
29,789.938,1.20872,0.82905,1.04324,0.80446,0.71014,0.80873,0.50498,1.18026,0.79376,1.10536,0.000742815,0.000742815,0.000742815
30,815.957,1.2217,0.81879,1.03763,0.77073,0.73151,0.78995,0.50743,1.15835,0.8105,1.09353,0.000709809,0.000709809,0.000709809
31,844.032,1.19579,0.79966,1.03173,0.76807,0.73323,0.80497,0.51274,1.16023,0.82208,1.0907,0.000676802,0.000676802,0.000676802
32,870.886,1.19241,0.80408,1.03381,0.76051,0.76829,0.81748,0.51848,1.18747,0.79734,1.09819,0.000643795,0.000643795,0.000643795
33,900.718,1.2153,0.80785,1.03756,0.7665,0.76435,0.81579,0.52162,1.14744,0.79277,1.08547,0.000610789,0.000610789,0.000610789
34,929.493,1.18564,0.79861,1.02826,0.73938,0.75403,0.8109,0.51228,1.17366,0.79427,1.10035,0.000577782,0.000577782,0.000577782
35,957.399,1.18953,0.79945,1.0276,0.78793,0.738,0.80716,0.5181,1.1637,0.80869,1.09439,0.000544776,0.000544776,0.000544776
36,985.886,1.1796,0.78664,1.01951,0.80938,0.72851,0.81665,0.51503,1.16027,0.7906,1.08631,0.000511769,0.000511769,0.000511769
37,1014.27,1.16824,0.78938,1.02481,0.7574,0.76978,0.81662,0.52139,1.15926,0.78808,1.09477,0.000478762,0.000478762,0.000478762
38,1042.4,1.15696,0.76046,1.01796,0.79656,0.74553,0.81918,0.52299,1.15754,0.80244,1.08867,0.000445756,0.000445756,0.000445756
39,1072.87,1.18065,0.77704,1.02067,0.7703,0.78674,0.8328,0.53855,1.13861,0.73626,1.08866,0.000412749,0.000412749,0.000412749
40,1102.09,1.16319,0.78556,1.02091,0.79957,0.76073,0.81921,0.5272,1.16211,0.76537,1.0927,0.000379743,0.000379743,0.000379743
41,1147.89,1.08387,0.6935,0.98685,0.7982,0.74844,0.82406,0.52832,1.14395,0.75922,1.08663,0.000346736,0.000346736,0.000346736
42,1179.14,1.07119,0.67643,0.97882,0.81588,0.72764,0.81353,0.51817,1.1756,0.77116,1.11084,0.000313729,0.000313729,0.000313729
43,1209.03,1.04813,0.66737,0.9808,0.78337,0.73504,0.81633,0.52101,1.16401,0.76377,1.09931,0.000280723,0.000280723,0.000280723
44,1236.45,1.04147,0.65864,0.97473,0.81418,0.75242,0.82675,0.52987,1.16259,0.76483,1.09749,0.000247716,0.000247716,0.000247716
45,1264.05,1.04398,0.65831,0.97494,0.77425,0.7549,0.82532,0.53059,1.16154,0.7427,1.09886,0.00021471,0.00021471,0.00021471
46,1291.2,1.03233,0.65505,0.96901,0.78784,0.76831,0.82984,0.5345,1.14431,0.75069,1.08189,0.000181703,0.000181703,0.000181703
47,1318.93,1.0451,0.65131,0.96706,0.78637,0.76467,0.83011,0.52991,1.15544,0.75198,1.09236,0.000148696,0.000148696,0.000148696
48,1346.31,1.02493,0.64125,0.96512,0.78726,0.76009,0.82802,0.5353,1.14231,0.74976,1.09112,0.00011569,0.00011569,0.00011569
49,1375.81,1.03114,0.64187,0.96535,0.788,0.76483,0.83251,0.53693,1.14137,0.74498,1.09202,8.26832e-05,8.26832e-05,8.26832e-05
50,1404.37,1.03718,0.64964,0.97499,0.77435,0.7835,0.83231,0.53626,1.14079,0.73603,1.09161,4.96766e-05,4.96766e-05,4.96766e-05
