epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8028,1.76986,3.78187,1.95801,0.30719,0.11633,0.06241,0.02318,1.70836,3.29185,2.01027,0.000366967,0.000366967,0.000366967
2,25.4908,1.52772,3.40268,1.83472,0.11233,0.21247,0.11354,0.05234,1.6855,2.93859,1.98838,0.000722701,0.000722701,0.000722701
3,34.9514,1.48858,3.01245,1.77254,0.32485,0.17692,0.10886,0.05683,1.57915,2.8909,1.85211,0.00106377,0.00106377,0.00106377
4,43.6777,1.46551,2.75206,1.733,0.12336,0.20504,0.11162,0.06073,1.53613,2.66456,1.75338,0.00104501,0.00104501,0.00104501
5,52.3058,1.41489,2.65261,1.66845,0.14818,0.32643,0.14015,0.07118,1.51038,2.70006,1.82769,0.00102301,0.00102301,0.00102301
6,61.9548,1.44653,2.56625,1.68212,0.17812,0.35669,0.15024,0.07975,1.45786,2.51052,1.73475,0.00100101,0.00100101,0.00100101
7,70.7738,1.41977,2.47364,1.64317,0.18085,0.37068,0.15674,0.08833,1.42649,2.44631,1.68613,0.000979013,0.000979013,0.000979013
8,80.6313,1.40509,2.43354,1.62768,0.18816,0.34526,0.17387,0.09201,1.42855,2.37771,1.67569,0.000957015,0.000957015,0.000957015
9,89.8842,1.35823,2.40234,1.59368,0.21361,0.37625,0.18765,0.10301,1.45635,2.48488,1.71487,0.000935018,0.000935018,0.000935018
10,99.0654,1.3601,2.39705,1.60746,0.2443,0.47494,0.22613,0.12959,1.39168,2.31326,1.66008,0.00091302,0.00091302,0.00091302
11,109.582,1.32929,2.3354,1.58956,0.21081,0.48414,0.20883,0.13303,1.3785,2.35292,1.62248,0.000891022,0.000891022,0.000891022
12,120.563,1.30964,2.235,1.54919,0.29219,0.44106,0.26451,0.15638,1.43694,2.19604,1.64568,0.000869024,0.000869024,0.000869024
