epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,130.444,1.33557,2.28367,1.57501,0.26615,0.47255,0.30354,0.18056,1.38153,2.14515,1.61111,0.000847026,0.000847026,0.000847026
14,141.352,1.27899,2.17192,1.53438,0.21605,0.44446,0.26228,0.16449,1.42238,2.1605,1.6155,0.000825029,0.000825029,0.000825029
15,151.383,1.28451,2.15863,1.55086,0.28721,0.43835,0.30041,0.19408,1.36364,2.06112,1.58848,0.000803031,0.000803031,0.000803031
16,161.771,1.2479,2.10215,1.49418,0.28851,0.47101,0.32256,0.21163,1.34356,2.0583,1.57974,0.000781033,0.000781033,0.000781033
17,172.138,1.27027,2.06417,1.50784,0.36748,0.41048,0.35294,0.23467,1.32049,2.0378,1.56339,0.000759035,0.000759035,0.000759035
18,182.513,1.26555,2.09833,1.52667,0.39663,0.40661,0.36901,0.25422,1.29865,2.01423,1.54234,0.000737037,0.000737037,0.000737037
19,192.926,1.24541,2.07261,1.50545,0.3331,0.46103,0.34697,0.23085,1.33893,2.03781,1.55872,0.00071504,0.00071504,0.00071504
20,202.926,1.20665,1.99447,1.46627,0.30613,0.47514,0.35088,0.24566,1.32601,1.98685,1.52584,0.000693042,0.000693042,0.000693042
21,213.251,1.22808,1.99774,1.46938,0.2835,0.49478,0.35553,0.23816,1.34142,2.00337,1.54937,0.000671044,0.000671044,0.000671044
22,223.234,1.21137,2.06046,1.46984,0.31151,0.52394,0.36058,0.24351,1.29235,1.99493,1.51463,0.000649046,0.000649046,0.000649046
23,233.925,1.21969,2.02085,1.47137,0.34592,0.44897,0.36629,0.24944,1.28846,1.97439,1.52481,0.000627048,0.000627048,0.000627048
24,244.586,1.1898,1.95092,1.44806,0.35158,0.48668,0.35898,0.23335,1.24654,1.95872,1.48224,0.000605051,0.000605051,0.000605051
25,254.406,1.16328,1.94197,1.43453,0.30088,0.50315,0.3563,0.2384,1.23958,1.92387,1.46421,0.000583053,0.000583053,0.000583053
26,264.683,1.21164,1.94751,1.45174,0.32817,0.50146,0.3618,0.24801,1.2779,1.93205,1.49182,0.000561055,0.000561055,0.000561055
27,274.812,1.1856,1.89234,1.45781,0.32585,0.5053,0.36959,0.25418,1.24326,1.94075,1.4822,0.000539057,0.000539057,0.000539057
28,285.668,1.17341,1.89466,1.44051,0.35096,0.46457,0.36609,0.25901,1.22847,1.97153,1.46818,0.000517059,0.000517059,0.000517059
29,296.524,1.20166,1.89633,1.44687,0.31511,0.53571,0.32304,0.22463,1.25192,1.95606,1.47461,0.000495062,0.000495062,0.000495062
30,306.905,1.13316,1.84718,1.41786,0.35561,0.46044,0.37882,0.26435,1.22978,1.90759,1.46117,0.000473064,0.000473064,0.000473064
31,317.283,1.18418,1.92223,1.46526,0.36165,0.48394,0.38757,0.26917,1.23663,1.87605,1.46496,0.000451066,0.000451066,0.000451066
32,327.736,1.18627,1.85804,1.44458,0.39914,0.42891,0.38365,0.27497,1.21311,1.84848,1.45742,0.000429068,0.000429068,0.000429068
33,338.016,1.15716,1.86637,1.43116,0.45075,0.41936,0.42286,0.29934,1.19632,1.82839,1.43282,0.00040707,0.00040707,0.00040707
34,347.707,1.12525,1.81158,1.40641,0.32175,0.55197,0.41525,0.28742,1.23555,1.8247,1.45922,0.000385073,0.000385073,0.000385073
35,358.042,1.13692,1.7953,1.39816,0.36669,0.45831,0.4159,0.28547,1.245,1.84799,1.49966,0.000363075,0.000363075,0.000363075
36,367.935,1.12122,1.81483,1.39549,0.36775,0.47022,0.39913,0.27922,1.21488,1.80729,1.46993,0.000341077,0.000341077,0.000341077
37,379.004,1.12187,1.77358,1.39493,0.40446,0.46187,0.40863,0.29039,1.21406,1.80261,1.46501,0.000319079,0.000319079,0.000319079
38,389.037,1.12786,1.76294,1.40072,0.53914,0.44612,0.42773,0.29312,1.23205,1.80974,1.48152,0.000297081,0.000297081,0.000297081
39,399.458,1.08542,1.74087,1.39066,0.3539,0.46786,0.39773,0.27466,1.25189,1.84232,1.49508,0.000275084,0.000275084,0.000275084
40,409.693,1.09623,1.76967,1.38378,0.36084,0.51091,0.41312,0.28673,1.22315,1.80369,1.46307,0.000253086,0.000253086,0.000253086
41,433.443,1.12074,1.8738,1.40707,0.34373,0.536,0.42204,0.28157,1.26095,1.86997,1.49874,0.000231088,0.000231088,0.000231088
42,445.312,1.08603,1.77478,1.34292,0.45707,0.44751,0.40101,0.27501,1.20302,1.82306,1.45333,0.00020909,0.00020909,0.00020909
43,456.359,1.05685,1.71912,1.3392,0.43403,0.4501,0.40718,0.28062,1.20194,1.80251,1.44801,0.000187092,0.000187092,0.000187092
44,467.124,1.05422,1.69447,1.35564,0.40042,0.44228,0.42344,0.28855,1.19917,1.77487,1.45407,0.000165095,0.000165095,0.000165095
45,477.838,1.04602,1.67145,1.3213,0.48487,0.42437,0.45043,0.3235,1.1842,1.74516,1.43502,0.000143097,0.000143097,0.000143097
46,487.843,0.99585,1.61156,1.30143,0.39385,0.47213,0.42681,0.30648,1.1818,1.7596,1.42675,0.000121099,0.000121099,0.000121099
47,497.456,1.0109,1.62951,1.31172,0.46779,0.44303,0.4292,0.30978,1.18453,1.76623,1.42746,9.91012e-05,9.91012e-05,9.91012e-05
48,507.148,0.9804,1.63512,1.2848,0.37232,0.46789,0.43033,0.30732,1.18035,1.76437,1.42407,7.71034e-05,7.71034e-05,7.71034e-05
49,517.503,0.97724,1.62974,1.29064,0.39276,0.47771,0.43468,0.30983,1.17675,1.74557,1.42338,5.51056e-05,5.51056e-05,5.51056e-05
50,527.322,0.99695,1.57798,1.30856,0.37918,0.50761,0.43773,0.31206,1.17637,1.76703,1.42432,3.31078e-05,3.31078e-05,3.31078e-05
